family,n_mu_levels,mu_tokens,increment,md5_wire_block,odb_paths
1020_2a_16_rd_1000_cal_0_v_10,3,0100 025 050,9978311,915e124d89,V:/Wire_drawing/2026/odb/1020_2a_16_rd_1000_cal_0_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1000_cal_0_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1000_cal_0_v_10_fric_050.odb
1020_2a_16_rd_1000_cal_0_v_20,3,0100 025 050,5001184,07011bab2a,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1000_cal_0_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1000_cal_0_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1000_cal_0_v_20_f_050.odb
1020_2a_16_rd_1000_cal_100_v_10,3,0100 025 050,11405940,d0c192b572,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1000_cal_100_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1000_cal_100_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1000_cal_100_v_10_fric_050.odb
1020_2a_16_rd_1000_cal_100_v_20,3,0100 025 050,5702779,29ecfc1c37,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1000_cal_100_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1000_cal_100_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1000_cal_100_v_20_f_050.odb
1020_2a_16_rd_1000_cal_10_v_10,3,0100 025 050,10123468,3c6ea9b9e2,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1000_cal_10_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1000_cal_10_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1000_cal_10_v_10_fric_050.odb
1020_2a_16_rd_1000_cal_10_v_20,3,0100 025 050,5052351,7478f1d811,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1000_cal_10_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1000_cal_10_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1000_cal_10_v_20_f_050.odb
1020_2a_16_rd_1000_cal_30_v_10,3,0100 025 050,10450315,03531fb42f,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1000_cal_30_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1000_cal_30_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1000_cal_30_v_10_fric_050.odb
1020_2a_16_rd_1000_cal_30_v_20,3,0100 025 050,5215208,b7d8467dfc,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1000_cal_30_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1000_cal_30_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1000_cal_30_v_20_f_050.odb
1020_2a_16_rd_1000_cal_50_v_10,3,0100 025 050,10729768,a20e29022b,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1000_cal_50_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1000_cal_50_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1000_cal_50_v_10_fric_050.odb
1020_2a_16_rd_1000_cal_50_v_20,3,0100 025 050,5349226,7d7ee4338c,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1000_cal_50_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1000_cal_50_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1000_cal_50_v_20_f_050.odb
1020_2a_16_rd_1000_cal_75_v_10,3,0100 025 050,11064357,b60a753a0f,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1000_cal_75_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1000_cal_75_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1000_cal_75_v_10_fric_050.odb
1020_2a_16_rd_1000_cal_75_v_20,3,0100 025 050,5523285,4f10fdb6cf,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1000_cal_75_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1000_cal_75_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1000_cal_75_v_20_f_050.odb
1020_2a_16_rd_1500_cal_0_v_10,3,0100 025 050,12448995,8a9cfa66a5,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_0_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_0_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_0_v_10_fric_050.odb
1020_2a_16_rd_1500_cal_0_v_20,3,0100 025 050,6228142,47506d698a,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_0_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_0_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_0_v_20_f_050.odb
1020_2a_16_rd_1500_cal_100_v_10,3,0100 025 050,14046285,c9f5779cae,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_100_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_100_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_100_v_10_fric_050.odb
1020_2a_16_rd_1500_cal_100_v_20,3,0100 025 050,6993963,5261bd1e80,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_100_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_100_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_100_v_20_f_050.odb
