job,Q,k,alpha,mu_token,v,r_max_mm,z_max_mm,increment,odb_path
1020_2a_16_rd_2500_cal_0_v_10_fric_0100,0.25,0.0,8.0,0100,10.0,18.0,168.7,20000003,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_2500_cal_0_v_10_fric_0100.odb
1020_2a_16_rd_2500_cal_100_v_10_fric_0100,0.25,1.0,8.0,0100,10.0,18.001,160.1,8333288,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_2500_cal_100_v_10_fric_0100.odb
1020_2a_16_rd_2500_cal_10_v_10_fric_0100,0.25,0.1,8.0,0100,10.0,18.0,172.3,20000003,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_2500_cal_10_v_10_fric_0100.odb
1020_2a_16_rd_2500_cal_30_v_10_fric_0100,0.25,0.3,8.0,0100,10.0,18.001,161.2,8455614,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_2500_cal_30_v_10_fric_0100.odb
1020_2a_16_rd_2500_cal_50_v_10_fric_0100,0.25,0.5,8.0,0100,10.0,18.001,161.6,8505164,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_2500_cal_50_v_10_fric_0100.odb
1020_2a_24_rd_2000_cal_75_v_10_fric_0100,0.2,0.75,12.0,0100,10.0,18.001,139.4,6499685,V:/Wire_drawing/2026/odb/1020_2a_24_rd_2000_cal_75_v_10_fric_0100.odb
1020_2a_24_rd_2000_cal_75_v_10_fric_025,0.2,0.75,12.0,025,10.0,18.001,145.7,6230630,V:/Wire_drawing/2026/odb/1020_2a_24_rd_2000_cal_75_v_10_fric_025.odb
1020_2a_24_rd_2000_cal_75_v_10_fric_050,0.2,0.75,12.0,050,10.0,18.001,137.6,6230632,V:/Wire_drawing/2026/odb/1020_2a_24_rd_2000_cal_75_v_10_fric_050.odb
1020_2a_24_rd_2500_cal_0_v_10_fric_0100,0.25,0.0,12.0,0100,10.0,18.001,168.5,10150165,V:/Wire_drawing/2026/odb/1020_2a_24_rd_2500_cal_0_v_10_fric_0100.odb
1020_2a_24_rd_2500_cal_0_v_10_fric_025,0.25,0.0,12.0,025,10.0,18.001,144.0,6946367,V:/Wire_drawing/2026/odb/1020_2a_24_rd_2500_cal_0_v_10_fric_025.odb
1020_2a_24_rd_2500_cal_0_v_10_fric_050,0.25,0.0,12.0,050,10.0,18.001,145.0,7062923,V:/Wire_drawing/2026/odb/1020_2a_24_rd_2500_cal_0_v_10_fric_050.odb
1020_2a_24_rd_2500_cal_100_v_10_fric_0100,0.25,1.0,12.0,0100,10.0,18.002,181.5,11822728,V:/Wire_drawing/2026/odb/1020_2a_24_rd_2500_cal_100_v_10_fric_0100.odb
1020_2a_24_rd_2500_cal_100_v_10_fric_025,0.25,1.0,12.0,025,10.0,18.001,149.7,7788203,V:/Wire_drawing/2026/odb/1020_2a_24_rd_2500_cal_100_v_10_fric_025.odb
1020_2a_24_rd_2500_cal_100_v_10_fric_050,0.25,1.0,12.0,050,10.0,18.001,150.7,7892243,V:/Wire_drawing/2026/odb/1020_2a_24_rd_2500_cal_100_v_10_fric_050.odb
1020_2a_24_rd_2500_cal_10_v_10_fric_0100,0.25,0.1,12.0,0100,10.0,18.001,169.8,10314120,V:/Wire_drawing/2026/odb/1020_2a_24_rd_2500_cal_10_v_10_fric_0100.odb
1020_2a_24_rd_2500_cal_10_v_10_fric_025,0.25,0.1,12.0,025,10.0,18.001,144.8,7069063,V:/Wire_drawing/2026/odb/1020_2a_24_rd_2500_cal_10_v_10_fric_025.odb
1020_2a_24_rd_2500_cal_10_v_10_fric_050,0.25,0.1,12.0,050,10.0,18.001,145.3,7097364,V:/Wire_drawing/2026/odb/1020_2a_24_rd_2500_cal_10_v_10_fric_050.odb
1020_2a_24_rd_2500_cal_30_v_10_fric_0100,0.25,0.3,12.0,0100,10.0,18.001,172.3,10648192,V:/Wire_drawing/2026/odb/1020_2a_24_rd_2500_cal_30_v_10_fric_0100.odb
1020_2a_24_rd_2500_cal_30_v_10_fric_025,0.25,0.3,12.0,025,10.0,18.001,145.8,7203669,V:/Wire_drawing/2026/odb/1020_2a_24_rd_2500_cal_30_v_10_fric_025.odb
1020_2a_24_rd_2500_cal_30_v_10_fric_050,0.25,0.3,12.0,050,10.0,18.001,146.5,7259849,V:/Wire_drawing/2026/odb/1020_2a_24_rd_2500_cal_30_v_10_fric_050.odb
1020_2a_24_rd_2500_cal_50_v_10_fric_0100,0.25,0.5,12.0,0100,10.0,18.001,174.9,10981648,V:/Wire_drawing/2026/odb/1020_2a_24_rd_2500_cal_50_v_10_fric_0100.odb
1020_2a_24_rd_2500_cal_50_v_10_fric_025,0.25,0.5,12.0,025,10.0,18.001,146.8,7355490,V:/Wire_drawing/2026/odb/1020_2a_24_rd_2500_cal_50_v_10_fric_025.odb
1020_2a_24_rd_2500_cal_50_v_10_fric_050,0.25,0.5,12.0,050,10.0,18.001,147.6,7429418,V:/Wire_drawing/2026/odb/1020_2a_24_rd_2500_cal_50_v_10_fric_050.odb
1020_2a_24_rd_2500_cal_75_v_10_fric_0100,0.25,0.75,12.0,0100,10.0,18.001,178.1,11406052,V:/Wire_drawing/2026/odb/1020_2a_24_rd_2500_cal_75_v_10_fric_0100.odb
1020_2a_24_rd_2500_cal_75_v_10_fric_025,0.25,0.75,12.0,025,10.0,18.001,148.4,7592061,V:/Wire_drawing/2026/odb/1020_2a_24_rd_2500_cal_75_v_10_fric_025.odb
1020_2a_24_rd_2500_cal_75_v_10_fric_050,0.25,0.75,12.0,050,10.0,18.001,149.0,7645700,V:/Wire_drawing/2026/odb/1020_2a_24_rd_2500_cal_75_v_10_fric_050.odb
1020_2a_24_rd_250_cal_0_v_10_fric_0100,0.025,0.0,12.0,0100,10.0,18.185,113.2,2953707,V:/Wire_drawing/2026/odb/1020_2a_24_rd_250_cal_0_v_10_fric_0100.odb
1020_2a_24_rd_250_cal_0_v_10_fric_025,0.025,0.0,12.0,025,10.0,18.152,113.1,2948212,V:/Wire_drawing/2026/odb/1020_2a_24_rd_250_cal_0_v_10_fric_025.odb
