job,Q,k,alpha,mu,v,odb_path
1020_2a_16_rd_150_cal_30_v_5_f_0100,0.015,0.3,8,0.1,5,E:/AISI_1020/Vel_5_updated/1020_2a_16_rd_150_cal_30_v_5_f_0100.odb
1020_2a_16_rd_2000_cal_0_v_10_fric_0100,0.2,0,8,0.1,10,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_2000_cal_0_v_10_fric_0100.odb
1020_2a_16_rd_2000_cal_0_v_5_f_0100,0.2,0,8,0.1,5,E:/AISI_1020/Vel_5_updated/1020_2a_16_rd_2000_cal_0_v_5_f_0100.odb
1020_2a_40_rd_1000_cal_0_v_250_f_050,0.1,0,20,0.05,250,H:/Calculations_Abaqus_2022/Vel_250/1020_2a_40_rd_1000_cal_0_v_250_f_050.odb
1020_2a_40_rd_1000_cal_10_v_5_f_0100,0.1,0.1,20,0.1,5,E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1000_cal_10_v_5_f_0100.odb
1020_2a_40_rd_1000_cal_30_v_20_f_050,0.1,0.3,20,0.05,20,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_40_rd_1000_cal_30_v_20_f_050.odb
1020_2a_40_rd_1500_cal_0_v_5_f_0100,0.15,0,20,0.1,5,E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1500_cal_0_v_5_f_0100.odb
1020_2a_40_rd_1500_cal_50_v_20_f_0100,0.15,0.5,20,0.1,20,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_40_rd_1500_cal_50_v_20_f_0100.odb
1020_2a_40_rd_150_cal_30_v_10_fric_0100,0.015,0.3,20,0.1,10,V:/Wire_drawing/2026/odb/1020_2a_40_rd_150_cal_30_v_10_fric_0100.odb
1020_2a_40_rd_2000_cal_50_v_20_f_0100,0.2,0.5,20,0.1,20,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_40_rd_2000_cal_50_v_20_f_0100.odb
1020_2a_40_rd_250_cal_100_v_10_fric_0100,0.025,1,20,0.1,10,V:/Wire_drawing/2026/odb/1020_2a_40_rd_250_cal_100_v_10_fric_0100.odb
1020_2a_40_rd_250_cal_10_v_250_f_050,0.025,0.1,20,0.05,250,H:/Calculations_Abaqus_2022/Vel_250/1020_2a_40_rd_250_cal_10_v_250_f_050.odb
1020_2a_40_rd_500_cal_10_v_250_f_025,0.05,0.1,20,0.025,250,H:/Calculations_Abaqus_2022/Vel_250/1020_2a_40_rd_500_cal_10_v_250_f_025.odb
1020_2a_40_rd_500_cal_75_v_10_fric_050,0.05,0.75,20,0.05,10,V:/Wire_drawing/2026/odb/1020_2a_40_rd_500_cal_75_v_10_fric_050.odb
1020_2a_8_rd_1000_cal_100_v_10_fric_050,0.1,1,4,0.05,10,V:/Wire_drawing/2026/odb/1020_2a_8_rd_1000_cal_100_v_10_fric_050.odb
1020_2a_8_rd_1500_cal_0_v_250_f_025,0.15,0,4,0.025,250,H:/Calculations_Abaqus_2022/Vel_250/1020_2a_8_rd_1500_cal_0_v_250_f_025.odb
1020_2a_8_rd_1500_cal_30_v_10_fric_0100,0.15,0.3,4,0.1,10,V:/Wire_drawing/2026/odb/1020_2a_8_rd_1500_cal_30_v_10_fric_0100.odb
1020_2a_8_rd_150_cal_100_v_250_f_050,0.015,1,4,0.05,250,H:/Calculations_Abaqus_2022/Vel_250/1020_2a_8_rd_150_cal_100_v_250_f_050.odb
1020_2a_8_rd_150_cal_50_v_20_f_025,0.015,0.5,4,0.025,20,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_8_rd_150_cal_50_v_20_f_025.odb
