stage,family,backend,split,seed,frac,corrupt_rate,n_train,n_test,epochs,seconds,macro_rmse,macro_nrmse,macro_r2,rmse_normal_only,rmse_sigma_rr,rmse_sigma_tt,rmse_sigma_zz,rmse_tau_rz,nrmse_sigma_rr,nrmse_sigma_tt,nrmse_sigma_zz,nrmse_tau_rz,r2_sigma_rr,r2_sigma_tt,r2_sigma_zz,r2_tau_rz,eq_res_median,bc_sigma_rr,bc_tau_rz,lambda_physics,lambda_bc,learning_rate,n_units,n_layers,eq_r_reduced,eq_z_full,eq_z_reduced,phys_gain,macro_nrmse_global,macro_r2_global,r2_normal_only,r2_normal_only_global,nrmse_sigma_rr_global,nrmse_sigma_tt_global,nrmse_sigma_zz_global,nrmse_tau_rz_global,error
main,mlp,torch,random,2,,,1571,277,328,64.1,12.272441355343872,0.3075691121999903,0.843556339799828,15.95078479906303,5.247272013268008,11.318681123172311,31.286401260748764,1.2374110241863996,0.1208631130318568,0.162897523036908,0.2118338697683156,0.7346819429628807,0.985392107908248,0.9734643969884392,0.9551264116189796,0.4602424426836455,1884.905326984478,4.218023915230496,0.3493089441711698,0.0,0.0,0.003,96,3,,,,,,,,,,,,,
main,mlp,torch,random,3,,,1571,277,800,156.0,11.008540539550866,0.2357100640951559,0.921311575861364,14.400428696547564,4.817824044694742,10.166853229145136,28.216608815802807,0.8328760685607787,0.1109714172638979,0.1463205112048742,0.1910489284905127,0.4944993994213388,0.9876853445504412,0.9785903080007436,0.9635003069226264,0.7554703439716449,1876.7309160759617,4.3654907773094696,0.3259427471647668,0.0,0.0,0.003,96,3,,,,,,,,,,,,,
main,mlp,torch,random,1,,,1571,277,800,157.7,11.371456315162916,0.2624920275654729,0.8960451194873146,14.834450612751963,5.041672163889243,10.934686997410566,28.526992676956084,0.9824734223957716,0.1161274260364113,0.1573711113228037,0.1931504745863309,0.5833190983163457,0.9865144209221572,0.975234333321025,0.9626928941670746,0.6597388295390014,2001.197187205708,5.074242800940685,0.5523654942592069,0.0,0.0,0.003,96,3,,,,,,,,,,,,,
main,mlp,torch,random,0,,,1571,277,800,157.6,11.30399402753358,0.2656927499849114,0.8901958709949636,14.732491288024882,4.772840574450573,10.653185559743646,28.771447729880425,1.0185022460596744,0.1099352898752398,0.1533197659029393,0.1948056301094543,0.6047103140520121,0.9879142320400464,0.9764930493834671,0.962050766477658,0.6343254360786826,1981.550918694912,4.804846288500134,0.6135294732625778,0.0,0.0,0.003,96,3,,,,,,,,,,,,,
main,mlp,torch,random,4,,,1571,277,800,155.9,11.209057471633589,0.2642686372395785,0.8909917304313175,14.606737079577488,4.798766428099774,10.379061477664646,28.64238333296804,1.0160186478018949,0.1105324533865134,0.1493745947748282,0.1939317612864023,0.6032357395105702,0.9877825767483576,0.9776872304358551,0.9623904719643532,0.6361066425767035,1933.547386117115,4.056405808351455,0.6338432715256691,0.0,0.0,0.003,96,3,,,,,,,,,,,,,
main,mlp,torch,extrap:alpha_max,0,,,1461,387,800,99.3,21.5729593992962,0.8676807774540543,-0.6589161204276439,28.12891503839035,9.97565542108984,18.140510506835277,56.27057918724594,1.90509248201374,0.2697331462014475,0.2814724262098159,0.4057449027571139,2.5137726346478395,0.9272440298402644,0.9207732732835572,0.8353710738866178,-5.319052858721015,4166.574424064091,7.581768913134685,1.4232497812607217,0.0,0.0,0.003,96,3,,,,,,,,,,,,,
main,mlp,torch,extrap:alpha_max,1,,,1461,387,800,85.2,18.63118098982696,0.7378511002483108,-0.1586056511641291,24.31252525624961,9.668204268458776,16.799377187263445,46.46999431302662,1.587148190558988,0.2614199313597325,0.2606630862968917,0.335076759400696,2.0942446239359227,0.931659619487869,0.9320547554421772,0.8877235653095265,-3.385860544896089,3811.693577760549,5.756555187090554,0.5646377385103415,0.0,0.0,0.003,96,3,,,,,,,,,,,,,
main,mlp,torch,extrap:alpha_max,3,,,1461,387,800,84.4,24.14268207112608,0.8935035310601086,-0.647659251643689,31.562273875003573,12.912526610484573,17.989059851971497,63.785235162554656,1.8839066594936047,0.349143618242119,0.279122482239964,0.459930116451269,2.4858179073070823,0.8780987338407948,0.9220906399081986,0.788464287981119,-5.179290668304868,3924.6853083833953,6.955027515922229,1.2263009776949214,0.0,0.0,0.003,96,3,,,,,,,,,,,,,
main,mlp,torch,extrap:alpha_max,2,,,1461,387,800,102.1,23.365988922001453,0.9308920528100316,-0.860525087219155,30.48374358154885,12.470712282184415,19.39404043185494,59.5864780306072,2.012724943359254,0.3371973386465614,0.300922491255612,0.4296545385416517,2.655793842796302,0.88629795480967,0.9094456542565134,0.8153969775105576,-6.053240935453361,3656.731758178651,3.771623576250777,0.7230063511146797,0.0,0.0,0.003,96,3,,,,,,,,,,,,,
main,mlp,torch,extrap:alpha_max,4,,,1461,387,800,143.8,19.595336118511348,0.6976186742997138,0.0533218602799931,25.65449368322625,11.460536282590612,16.543320818899588,48.95962394818853,1.4178634243666646,0.3098830480976342,0.256690055481541,0.353028494549158,1.870873099070522,0.903972496501714,0.9341102154168812,0.8753708820363533,-2.500166152834976,3745.747753263134,5.378717740982435,0.8158777502867737,0.0,0.0,0.003,96,3,,,,,,,,,,,,,
